"ID","Name","Image","Rank","Alignment","Life","Stamina","Morale","Attack","Counterattack","Speed","Defence","Ranged defence","Resistance","Ranged attack","Shooting range","Ammo","Experience","Experience modifier","Gold payment","Crystal payment","Payment","Gold price","Crystal price","Price","Trophies","Type","Class","Resources","Castle unit","Can be retrained from","Can be retrained to","Similar units","Unit at a certain level","Ways to get","Reborn in","Abilities","Description"
"48","Mage","","3","Unscrupulous","15","12","10","4","6","2","1","6","8","12","5","6","70","200","60","10","140","300","70","860","Trophies","Mortal, Human","Spellcaster","","yes","","High Mage (at level 20)","White Mage, High Mage, Magister, Archmagister","0, 10, 20, 30, 100","Mages Tower (building)","","Level 0:  						Magic Shot,  						Air Shield,  						Head Wind 				Level 1:  						Hit Points +1 x6,  						Ranged Attack +1 x5,  						Resistance +1 x4,  						Energy Control +1 x5 				Level 2:  						Stamina +1 x4,  						Ammo +1 x5,  						Morale +2 x2,  						Magic Strike 				Level 3:  						Counterattack +1 x3,  						Blast 				Level 4:  						Ranged Defense +1 x3,  						Spell Duration +1 x2 				Level 6:  						Attack +1 x3 				Level 7:  						Word of Power 				Level 8:  						Defense +1 x2,  						Spellpower +1 x2 				Level 9:  						Meditation +1 				Level 10:  						Stamina +2 x6,  						Range +1 				Level 11:  						Ranged Attack +2 x5 				Level 13:  						Hit Points +2 x4,  						Resistance +2 x2 				Level 14:  						Willpower +1 x2 				Level 17:  						Morale +3 				Level 20:  						Willpower +2","Battlemages who have passed the initiation of the Mages Tower and mastered the powers of the elements are a force to be reckoned with. These magicians are ill-tempered and expensive, but heroes still eagerly accept them into their ranks. Even a solitary magician can destroy countless enemies in one battle. Besides powerful attack spells, every magician possesses a sizable arsenal of elemental enchantments, which he constantly expands as he gains combat experience. The best warriors have a chance to be transferred to an elite squad."
"49","Executioner","","3","Evil","43","20","9","16","16","2","3","8","2","0","0","0","60","180","50","0","50","250","0","250","Trophies","Mortal, Human","Infantry","","yes","","Punisher (at level 21)","Punisher","0, 10, 20, 30, 100","Torture Chamber (building)","","Level 0:  						Crippling Strike (2),  						Round Attack (4) 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Resistance +1 x3 				Level 5:  						Health +1 x3 				Level 6:  						Morale +2 x2 				Level 9:  						Strength +1 x4,  						Soul Stealing (5) 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +3 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","This caste was created in the age of the Dark Empire, when Emperor Argahad subdued several hundreds of shards by his iron will. These warriors were initially called «ragkhu», which meant «vindicator» in the imperial language. Ragkhu troops maintained order in provinces, disposing quickly of «enemies of the Empire». People named them «executioners» for that, and that name remains to this day. When the empire fell, the incredibly powerful ragkhu order didn't share its fate. The executioners became professional mercenaries, offering their service to anyone willing to pay for it. An executioner is well-equipped and extremely skilled with his deadly weapon, a battle axe. Staying faithful to tradition, executioners are primarily trained to fight large but poorly armed crowds. The best warriors have a chance to be transferred to an elite squad."
"50","Ogre","","3","Evil","68","23","9","19","17","2","1","2","0","0","0","0","90","170","55","0","55","275","0","275","Trophies","Mortal, Giant","Giant","","no","","","Cyclops, Giant, Chieftain","0, 10, 20, 30, 100","mercenary hiring","","Level 0:  						Necrophagy +10,  						Crushing Blow,  						Hills Knowledge +1 x2 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Morale +2 x2,  						Stunning Blow +1 				Level 5:  						Health +1 x3 				Level 6:  						Resistance +1 x3,  						Necrophagy +5 x2 				Level 9:  						Strength +1 x4 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","Ogres have long inhabited the hills and caves of Eador. These enormous humanoids arouse terror in any peaceful population. They are well known for their appetite in human flesh. Ogres have no social structure, they live alone or in small clans at most. Orcish tribes often form a weird sort of alliance with ogres, sharing their loot and feeding them the occasional orc fallen out of grace with a chieftain. Ogres are rather dense. In combat they rely exclusively on brute force, with which Nature has generously endowed them. Often they start devouring their dead enemies (or allies) right on the battlefield. Such a meal heals an ogre's wounds almost instantly."
"51","Minotaur","","3","Neutral","52","18","12","18","18","2","4","5","2","0","0","0","80","160","77","3","101","390","10","470","Trophies","Mortal, Giant","Giant","","no","","","","0, 10, 20, 30, 100","Labyrinth (site), mercenary hiring","","Level 0:  						Battle Frenzy (5) 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Defense +1 x6,  						Morale +3 x6 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x4,  						Resistance +1 x3 				Level 3:  						Ranged Defense +1 x6 				Level 4:  						Round Attack (4) 				Level 5:  						Health +1 x3 				Level 6:  						Forced March 				Level 8:  						Damage Armor 				Level 9:  						Strength +1 x4 				Level 10:  						Counterattack +2 x4,  						Stunning Blow +1 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x2 				Level 13:  						Hit Points +3 x3 				Level 14:  						Health +2 x3 				Level 16:  						Attack +3 x2 				Level 18:  						Resistance +2 				Level 19:  						Ranged Defense +2 				Level 20:  						Armor +2","Minotaurs are among the most mysterious creatures in Eador. Word has it they were created by Myrthum, the God of Mysteries. No one knows whether that's true or not, as Myrthum vanished in the age of the Wars of the Gods, leaving behind many mysteries and rumors. It's common knowledge that some mystical ties connect minotaurs to their Labyrinths - the strange ancient structures found on many shards. Minotaurs are warriors by nature. They know no other occupation. They have no families or social structure. No one has ever seen minotaur children or females. The sages say that minotaurs appeared in the labyrinths because of some strange spell that no one has ever been able to unravel. During combat minotaurs fall into a rage that is close to madness. They feel no pain in this state and fight to the last drop of blood."
"52","Manticore","","3","Neutral","50","17","10","19","12","5","3","1","3","0","0","0","70","190","85","3","109","365","10","445","Trophies","Mortal, Animal","Flying","","no","","","","0, 10, 20, 30, 100","Manticore's Egg (item)","","Level 0:  						Flying,  						Poison Attack (4) 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Defense +1 x6,  						Morale +2 x2 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x5,  						Resistance +1 x3 				Level 3:  						Ranged Defense +1 x6,  						Poison +1 x4 				Level 5:  						Health +1 x3,  						Necrophagy +5 x2 				Level 6:  						Crippling Strike (2) 				Level 9:  						Strength +1 x4 				Level 10:  						Stunning Blow +1 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x2,  						Speed +1 				Level 13:  						Hit Points +3 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 15:  						Morale +3 x2 				Level 16:  						Attack +3 x2 				Level 18:  						Resistance +2 				Level 19:  						Ranged Defense +2 				Level 20:  						Armor +2","These dangerous predators make nests in the caverns upon high cliffs or dig their holes in the slopes of steep hills. Manticores are reckless, they love hunting humans because humans are the most unpredictable and cunning prey. Apart from the ability to fly and their deadly venom, nature has blessed manticores with a well-developed intellect, which makes them extremely dangerous. Harpy flocks often worship manticores, bringing all sorts of offerings and sacrifices to their nests. In combat, manticores attack their enemies with teeth, claws and a poisonous tail sting. These creatures are especially dangerous for archers and mages. Flying effortlessly over the infantry, they can destroy ranged units right at the beginning of battle. For the egg to be turned into a unit for a hero's party it is necessary to build a Handler's Guild."
"53","Unicorn","","3","Champion of Light","47","16","12","17","17","3","2","3","7","0","0","0","70","180","40","13","144","400","20","560","Trophies","Mortal, Animal","Cavalry","","no","","","Black Unicorn","0, 10, 20, 30, 100","Unicorn (site)","","Level 0:  						Magic Strike,  						Forest Knowledge +4,  						First Aid +6,  						Magic Aura 2 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Defense +1 x6,  						Morale +3 x6 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x5,  						Resistance +1 x3,  						Smite Evil +1 x5 				Level 3:  						Ranged Defense +1 x6,  						Overwhelming Force 				Level 5:  						Health +1 x3 				Level 7:  						Magic Aura +1 x2 [Magic Shield] 				Level 8:  						Resistance +2 x5 				Level 9:  						Strength +1 x4 				Level 10:  						Stunning Blow +1 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x2,  						Speed +1 				Level 13:  						Hit Points +3 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2 				Level 19:  						Ranged Defense +2 				Level 20:  						Armor +2","Unicorns are mystical creatures inhabiting Eador's ancient forests. Together with fairies and dryads, unicorns are forest guardians, ready to protect their woods from any outside threat. Elves consider unicorns sacred creatures, messengers of Larnallyole - the ancient God, patron of elves, killed in the war against Chaos. Other races never understood unicorns, thinking they were strange or even dangerous. A magic horn that pierces any armor is the unicorns' main weapon in combat. Unicorns seldom leave their native forests, since forests give them power and protection."
"54","Troll","","3","Evil","55","22","10","17","17","1","2","2","1","0","0","0","90","200","70","2","86","350","10","430","Trophies","Mortal, Giant","Giant","","no","","","","0, 10, 20, 30, 100","Troll Lair (site), mercenary hiring","","Level 0:  						Regeneration (4),  						Swamp Knowledge +2 x2,  						Siege (6) 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Resistance +1 x4 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Swamp Knowledge +1 x2 				Level 5:  						Health +1 x3,  						Siege +2 x4 				Level 7:  						Regeneration +1 x3 				Level 9:  						Strength +1 x4,  						Morale +2 x2 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","Trolls have long inhabited the swamps and bogs of Eador. These dumb, malicious creatures enjoy killing and destroying just for the thrill of it. Trolls also have an inexplicable love for gold and treasures, which they store in their secret lairs. Legends have it that trolls are members of some ancient race transformed into dumb bloodthirsty creatures by a curse. Goblins are the only beings able to coexist with trolls. These small green-skinned folk often hire trolls to guard their lands, paying them with gold and prisoners of war. Trolls are dangerous enemies in combat. They are incredibly strong and enduring, able to crush a stone wall with their fist. Their thick skin provides excellent protection against plain weapons and magic, and their natural ability of regeneration makes trolls extremely hard to kill. Their main shortcoming is their low speed."
"55","Ghost","","3","Evil Incarnate","18","10","10","9","10","3","20","40","3","0","0","0","90","170","0","25","200","200","100","1.000","Trophies","Undead","Flying","","no","","Banshee (at level 22)","Banshee, Spectre","0, 10, 20, 30, 100","Call of Darkness (ritual), Raise Ghost (necromancy)","","Level 0:  						Flying,  						Lesser Undead,  						Soul Stealing (5),  						Magic Strike,  						Incorporeality 				Level 1:  						Hit Points +1 x3,  						Soul Stealing +1 x7 				Level 2:  						Attack +1 x5,  						Resistance +1 x6 				Level 3:  						Counterattack +1 x4 				Level 7:  						Hit Points +2 x5 				Level 12:  						Attack +2 x5 				Level 15:  						Counterattack +2 x2 				Level 17:  						Hit Points +3 x2 				Level 20:  						Resistance +2","One of the secrets of higher necromancy is the ability to capture the souls of mortals, turning them into the necromancer's slaves. Not having a real body, a soul cannot interact with the material world, so necromancers create a simulacrum body for them from necrotic energy. Such souls trapped between life and death are called ghosts. They hate all living things and try to drag as many souls into the world of the dead as possible. A subtle ghost body constantly flickers, moving between two worlds - the world of the living and the world of the dead. This gives them huge resistance to physical damage - a ghost can take on a whole army by itself, if wizards are not part of it. A careful and skilled warrior however, can capture the moment when the ghost becomes material, and hit it with his normal weapon. Each killing restores the strength of the ghost and regenerates it. In case a ghost absorbs unusually large quantities of other souls, the necromancer can strengthen it, turning the ghost into a more powerful being."
"56","Demon","","3","Evil Incarnate","42","15","10","20","9","4","4","3","4","0","0","1","70","180","0","8","64","550","10","630","Trophies","Demon","Flying","","no","","Avenger (at level 19)","Avenger","0, 10, 20, 30, 100","Gates of Abyss (site), Dark Pact (demonology)","","Level 0:  						Flying,  						Armorpiercing Strike,  						Hex,  						Intimidation +1,  						Fear,  						Fire Immunity 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Defense +1 x6,  						Morale +2 x5 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x5,  						Resistance +1 x3 				Level 3:  						Ranged Defense +1 x6 				Level 5:  						Health +1 x3,  						Hex +2 x2 				Level 6:  						Dark Dominion 1 				Level 8:  						Ammo +1 x3 				Level 9:  						Strength +1 x4,  						Stunning Blow +1 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x2,  						Speed +1 				Level 13:  						Hit Points +3 x3,  						Soul Stealing (5) 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2 				Level 18:  						Resistance +2 				Level 19:  						Ranged Defense +2 				Level 20:  						Armor +2","The demon is a primary combat unit in the army of Chaos. They take the top rank among the ordinary creatures in the Chaos hierarchy. During the Wars of the Gods the demons were the force behind the destruction of many shards and the death of many gods and higher spirits. Fortunately, nowadays the number of demons is much lower than in those ancient, turbulent times. However, even a single demon is a serious opponent. These winged creatures sow fear among their enemies by eerie shrieks that drive mortals insane. In melee combat their long claws rend iron armor as effortlessly as they rend flesh."
"57","Paladin","","4","Champion of Light","55","18","15","22","22","3","6","12","12","0","1","1","130","300","120","6","168","600","30","840","Trophies","Mortal, Human, Natural Weapon","Cavalry","","yes","","Paragon of Light (at level 20)","Zealot, Paragon of Light","0, 10, 20, 30, 100","Sacred Order (building), mercenary hiring","","Level 0:  						Charge,  						Smite Evil +1,  						Healing (7),  						Resistance to Fear 				Level 1:  						Hit Points +2 x4,  						Attack +1 x3,  						Defense +1 x3,  						Morale +3 x8 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x3,  						Ranged Defense +1 x2,  						Healing +1 				Level 3:  						Resistance +1 x2,  						Smite Evil +2 				Level 4:  						Healing +2 x3 				Level 5:  						Health +1 x3,  						Armor +1 x3 				Level 6:  						First Strike 				Level 7:  						Attack +2 x3,  						Mobility 				Level 8:  						Counterattack +2 x5,  						Ammo +1 x2 				Level 9:  						Strength +1 x4,  						Resistance +2 				Level 10:  						Heavenly Armor 				Level 11:  						Ranged Defense +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x3 				Level 13:  						Hit Points +3 x3,  						Defense +2 x2 				Level 14:  						Health +2 x3,  						Smite Evil +3 				Level 16:  						Attack +3 x2,  						Armor +2 x2 				Level 18:  						Vigilance","Legendary fighters against evil, paladins are known throughout Eador as destroyers of the forces of Chaos and protectors of the common people. They say the Lord of Light himself, the Protector God of humans, founded the order of paladins. Anyway, in dark times like this there's a lot of work for these holy knights. Often, when their goals are in line with some Master's intentions, paladins join the ranks of his army. In combat Paladins are a dangerous force. Their morale is unwavering, and their swordsmanship skills are unrivaled. They are armed with holy swords that smite evil, and vested in blessed armor that provides protection even against magical weapons. A paladin is blessed with the gift of being able to heal the wounded by laying his hands on them. The best warriors have a chance to be transferred to an elite squad."
"58","War Elephant","","4","Neutral","128","20","11","34","23","2","2","4","2","0","0","0","130","320","140","0","140","700","0","700","Trophies","Mortal, Animal, Giant","Giant","","yes","","Daokon's Guardian (at level 18)","Daokon's Guardian","0, 10, 20, 30, 100","Elephant Pen (building), mercenary hiring","","Level 0:  						Trample (15),  						Web Immunity 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5,  						Trample +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Morale +2 x2 				Level 5:  						Health +1 x3 				Level 6:  						Resistance +1 x3 				Level 9:  						Strength +1 x4 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","The art of taming elephants goes back to the age of the Great Empire. An army of war elephants allowed Emperor Daokon to conquer many small kingdoms and principalities, trampling their defenses into the ground - quite literally. The Empire is long gone, but some of the most powerful monstrologist guilds still guard the secret of taming these enormous animals. They eagerly lend their services to any ruler who has enough gold to afford them. Breeding and keeping war elephants is a complex and expensive endeavor, but it's well worth it. An army of war elephants can crush virtually any opponent. Most war elephants can be equipped with specially enchanted armor."
"59","Warlock","","4","Evil Incarnate","20","13","10","8","8","2","3","7","13","18","7","7","130","340","80","16","208","400","80","1.040","Trophies","Mortal, Human","Spellcaster","","yes","","Maleficar (at level 22)","Maleficar","0, 10, 20, 30, 100","Castle of Darkness (building), mercenary hiring","","Level 0:  						Magic Shot,  						Raise Zombie,  						Lord of the Undead,  						Energy Control (2),  						Undead Regeneration 				Level 1:  						Hit Points +1 x4,  						Ranged Attack +1 x5,  						Resistance +1 x4,  						Ammo +1 x4,  						Energy Control +1 x7 				Level 2:  						Stamina +1 x3,  						Morale +2 x3,  						Magic Strike,  						Undead Summoning Power +1 x2 				Level 3:  						Counterattack +1 x3,  						Life Leech 25,  						Spellpower +1 x3 				Level 4:  						Ranged Defense +1 x3 				Level 5:  						Mass Curse 				Level 6:  						Attack +1 x3,  						Intrepid,  						Spell Duration +1 x2 				Level 7:  						Raise Ghoul 				Level 8:  						Stamina +2 x7,  						Defense +1 x2,  						Undead Summoning Power +2 x4 				Level 9:  						Hit Points +2 x6,  						Meditation +1,  						Mass Undead Restoration 				Level 10:  						Range +1 				Level 11:  						Ranged Attack +2 x5 				Level 12:  						Ice Immunity 				Level 13:  						Resistance +2 x2,  						Tireless 				Level 14:  						Ammo +2 x2,  						Willpower +1 x2 				Level 15:  						Raise Ghost 				Level 16:  						Life Leech +25,  						Thaumaturgy +1 				Level 18:  						Necromancer's Cry 				Level 19:  						Poison Immunity 				Level 20:  						Willpower +2","Warlocks are adepts of necromancy and dark sorcery. They have spent many years learning the secrets of the dark arts, day by day probing the depths of forbidden magic. Warlocks are feared by everyone, from mere mortals to the very rulers who recruit them in their service. So great is the warlocks' power over the forces of Death that the enemies they defeat are not laid to rest. Instead, they rise from the dead to continue fighting at their slayer's side. Gaining experience in battle, warlocks greatly expand their arsenal of spells, learning more and more powerful spells of the school of Death. The best warriors have a chance to be transferred to an elite squad."
"60","Dragon","","4","Neutral","150","30","15","40","35","5","10","10","20","30","2","10","1.000","500","500","20","660","2.500","100","3.300","Trophies","Mortal, Giant, Natural Weapon","Flying","","no","","","Dracolich, Faerie Dragon","0, 10, 20, 30, 100","Dragon's Egg (item)","","Level 0:  						Flying,  						Magic Shot,  						Spell Immunity,  						Web Immunity,  						Entanglement Immunity 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5,  						Ranged Attack +2 x3 				Level 3:  						Intimidation +1 x3 				Level 5:  						Health +1 x3,  						Ammo +2 x3 				Level 6:  						Resistance +1 x3 				Level 9:  						Strength +1 x4,  						Morale +2 x2 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3,  						Range +1 x2 				Level 14:  						Health +2 x3,  						Counterattack +2 x3,  						Ranged Attack +3 x3 				Level 15:  						Explosive Weapon 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 19:  						Willpower +1 				Level 20:  						Defense +2","Few creatures in the world of mortals are more powerful than dragons. These enormous ancient creatures lead a secluded life, rarely leaving their lairs. In the course of their unbelievably long lives, they collect hoards of valuable weapons and armor left by the knights daring to challenge them.  In combat, dragons know no equals. Their scales are incredibly tough, and all dragons are immune to magic.  This ancient creature is so strong that a single one is easily capable of crushing an entire army. For the egg to be turned into a unit for a hero's party it is necessary to build a Reliquarium."
"61","Treant","","4","Champion of Light","130","28","12","18","28","1","12","16","6","0","0","0","200","280","100","23","284","650","60","1.130","Trophies","Mortal, Giant","Giant","","no","","","","0, 10, 20, 30, 100","Treant's Acorn (item)","","Level 0:  						Roots,  						First Aid +3,  						First Aid +6,  						Siege (8),  						Forest Knowledge +4,  						Entanglement Immunity,  						Immunity to Bleeding 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5,  						Entangling Shot 				Level 3:  						Morale +2 x2 				Level 4:  						First Aid +1 x4 				Level 5:  						Health +1 x3,  						Siege +2 x4 				Level 6:  						Resistance +1 x3 				Level 7:  						Poison Immunity 				Level 8:  						Stunning Blow +1 				Level 9:  						Strength +1 x4 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3,  						Range +1 [Entangling Shot] 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","Researchers name these strange creatures resembling walking trees «Treants». They name themselves differently however: «Ents». They are an ancient race inhabiting Eador's oldest forests. They are the guardians of the woods and keepers of ancient knowledge. Elves respect ents and often ask them for advice. Other races are wary of treants, mainly because these beings are hostile towards anyone who harms forests. The bark-skin of treants is incredibly strong, and their arms possess immense power. In combat, ents entangle enemies with their roots, rendering them unable to move. Treants can put their roots down into the ground at any time, drinking its restorative sap to heal their wounds. For the acorn to be turned into a unit for a hero's party it is necessary to build Stonehenge."
"62","Hydra","","4","Neutral","200","25","11","25","25","1","3","3","4","0","0","0","400","320","140","9","212","700","40","1.020","Trophies","Mortal, Animal, Giant","Giant","","no","","","","0, 10, 20, 30, 100","Hydra's Egg (item)","","Level 0:  						Poison Attack (2),  						Attack All Enemies,  						Regeneration (4),  						Swamp Knowledge +2 x4,  						Web Immunity,  						Entanglement Immunity 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Morale +2 x2 				Level 4:  						Regeneration +1 x5 				Level 5:  						Health +1 x3,  						Poison +1 x4 				Level 6:  						Resistance +1 x3 				Level 9:  						Strength +1 x4,  						Poison Flesh (2) 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","A multiheaded poisonous creature lurking in the deep pools of Eador's swamps. The hydras are sometimes called «swamp dragons», for they are almost equal to the dragons in power. Hydras are too lazy to leave their lairs often, they feed on the creatures careless enough to wander into the bogs. However, hunger may drive a hydra out of its lair. A hungry hydra is most dangerous, leaving behind a trail of its victims' gnawed bones, feeding on any living creatures, from goblins to trolls. In combat, a hydra can attack all enemies surrounding it at once. The hydra's bite is poisonous and they are able to regenerate and heal their wounds. For the egg to be turned into a unit for a hero's party it is necessary to build the Monstrologists Guild."
"63","Cyclops","","4","Evil","100","25","11","35","32","2","4","4","5","0","0","0","180","260","150","0","150","750","0","750","Trophies","Mortal, Giant","Giant","","no","","","Giant","0, 10, 20, 30, 100","mercenary hiring","","Level 0:  						Trample (10),  						Hills Knowledge +1 x2 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5,  						Trample +2 x5 				Level 5:  						Health +1 x3 				Level 6:  						Resistance +1 x3 				Level 7:  						Web Immunity 				Level 9:  						Strength +1 x4,  						Morale +2 x2 				Level 11:  						Attack +2 x2,  						Hills Knowledge +2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","These fierce one-eyed titans dwelling in the hills of Eador are by far the smartest among all the giants. Often cyclopes manage to subdue giants and ogres. Sometimes they even enslave orcish tribes, forcing the orcs to provide them with food. Their ill temper and enormous strength make cyclopes extremely dangerous. In combat, a cyclops relies on his incredible power, often stomping small or injured enemies to death."
"64","Vampire","","4","Evil Incarnate","65","10","10","22","18","4","5","5","5","0","0","0","180","230","30","45","390","360","180","1.800","Trophies","Undead","Flying","","no","","","","0, 10, 20, 30, 100","Vampire (item), Raise Vampire (necromancy)","","Level 0:  						Flying,  						Bloodsucker (50),  						Lesser Undead 				Level 1:  						Hit Points +2 x5,  						Defense +1 x4 				Level 2:  						Attack +1 x5,  						Resistance +1 x4 				Level 3:  						Hit Points +3 x5,  						Counterattack +1 x4,  						Ranged Defense +1 x5 				Level 4:  						Bloodsucker +25 x3 				Level 9:  						Gaseous Form 				Level 10:  						Agility 				Level 12:  						Attack +2 x5 				Level 14:  						Resistance +2 x3 				Level 15:  						Counterattack +2 x2 				Level 16:  						Defense +2 x2","Vampires are rightfully considered the most dangerous among the undead. These winged creatures hide in their crypts during the day and fly out to search for flesh blood at night. They say that whoever is bitten by a vampire soon becomes a winged blood-drinker himself. Most likely, these rumors aren't true, otherwise the number of vampires in Eador would be much greater. Holy water, garlic, holy symbols, and aspen stakes aren't as effective against vampires as legends claim. The surest way to lay a vampire to rest is by chopping it into pieces. That's easier said than done however, since vampires are incredibly strong and fast. Besides, they restore their health in combat by feeding on their enemies' blood. Like the rest of the undead, they feel no pain and know no fatigue or fear."
"65","Devil","","4","Evil Incarnate","70","19","11","33","25","2","5","6","8","15","4","2","200","220","0","65","520","1.700","100","2.500","Trophies","Demon, Chaos Lord, Giant","Spellcaster","","no","","","","0, 10, 20, 30, 100","Gates of Abyss (site), Dark Pact (demonology)","","Level 0:  						Magic Shot,  						Armorpiercing Strike,  						Soul Stealing (5),  						Intimidation (3),  						Fire Immunity,  						Warp 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5,  						Soul Stealing (3) x4 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5,  						Ranged Attack +2 x5 				Level 3:  						Morale +2 x2,  						Resistance +1 x3 				Level 4:  						Chaos Surge 				Level 5:  						Health +1 x3 				Level 7:  						Dark Dominion 1 x2 				Level 8:  						Ammo +1 x3 				Level 9:  						Strength +1 x4,  						Summoning Power +4 x2 				Level 11:  						Attack +2 x2,  						Cursed Armor 				Level 12:  						Stamina +3 x3,  						Resistance +2 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1,  						Lord of Demons 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","Devils rightfully occupy the top rank in the hierarchy of Chaos spawn. Endowed with their own will, self-awareness, and intellect, the devils lead the armies of Chaos. Other spawns of Chaos obey them without question. Devils surpass their lesser counterparts not just in intellect, but in physical strength as well. In combat devils can shoot lightning and instantly move around the battlefield. Another aspect that makes the devils so dangerous is their ability to devour the souls of defeated enemies, thus regenerating their own health."
